name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
136.96835064888,	1.153304,	0.050007559,	1.8683040000000002,	0.050007559,	0,	
137.46835064888,	1.153037,	0.050005652,	1.8680370000000002,	0.050005652,	0,	
137.96835064888,	1.1539335,	0.050013285,	1.8689334999999998,	0.050013285,	0,	
138.46835064888,	1.1534758,	0.05000883,	1.8684758000000001,	0.05000883,	0,	
138.96835064888,	1.1536856,	0.050003104,	1.8686856,	0.050003104,	0,	
139.46835064888,	1.1535521,	0.050001197,	1.8685521,	0.050001197,	0,	
139.96835064888,	1.1525028,	0.05000883,	1.8675028,	0.05000883,	0,	
140.46835064888,	1.1528844,	0.050011374,	1.8678844,	0.050011374,	0,	
140.96835064888,	1.152083,	0.050007559,	1.867083,	0.050007559,	0,	
141.46835064888,	1.1521785,	0.05000883,	1.8671785,	0.05000883,	0,	
141.96835064888,	1.1521976,	0.050012011,	1.8671976,	0.050012011,	0,	
142.46835064888,	1.1524837,	0.050012648,	1.8674837000000002,	0.050012648,	0,	
142.96835064888,	1.1533231,	0.050018374,	1.8683231,	0.050018374,	0,	
143.46835064888,	1.1518542,	0.050010741,	1.8668542000000001,	0.050010741,	0,	
143.96835064888,	1.1524646,	0.0500241,	1.8674646,	0.0500241,	0,	
144.46835064888,	1.1522739,	0.050019644,	1.8672738999999998,	0.050019644,	0,	
144.96835064888,	1.1513772,	0.05002537,	1.8663772,	0.05002537,	0,	
145.46835064888,	1.1518923,	0.050027914,	1.8668923,	0.050027914,	0,	
145.96835064888,	1.1520449,	0.05002537,	1.8670448999999998,	0.05002537,	0,	
146.46835064888,	1.1513581,	0.050023463,	1.8663580999999998,	0.050023463,	0,	
146.96835064888,	1.1525791,	0.050005015,	1.8675791,	0.050005015,	0,	
147.46835064888,	1.1531132,	0.050014555,	1.8681131999999998,	0.050014555,	0,	
147.96835064888,	1.1526554,	0.050007559,	1.8676553999999999,	0.050007559,	0,	
148.46835064888,	1.1528081,	0.050006922,	1.8678081,	0.050006922,	0,	
148.96835064888,	1.1528081,	0.050012011,	1.8678081,	0.050012011,	0,	
149.46835064888,	1.1531705,	0.050005015,	1.8681705000000002,	0.050005015,	0,	
